ticker,company,X1_working_capital_ta,X2_retained_earnings_ta,X3_ebit_ta,X4_mve_tl,X5_sales_ta,altman_z,altman_zone,sector,cyclicality,approx_tier
MSFT,Microsoft,0.05127403820796017,0.43285256917413,0.22282482568013756,11.355840416622097,0.4375652710528814,8.653913888463928,safe,Technology,cyclical,high_grade
AAPL,Apple,-0.04919817058743295,-0.03970593556971504,0.37036418448896424,15.812900177928464,1.1584451663368045,11.753760967404943,safe,Technology,cyclical,high_grade
JNJ,Johnson & Johnson,0.007519702826163345,0.8163997791275538,0.16842527985542893,5.534742052385566,0.472832689122032,5.501464678246258,safe,Healthcare,defensive,high_grade
PFE,Pfizer,0.028410837817063796,0.5505860876249039,0.048957532667179095,1.3180363465008031,0.3006293235972329,2.057924517354748,grey_zone,Healthcare,defensive,high_grade
PG,Procter & Gamble,-0.09868717446115664,1.073750602666751,0.1679879229535018,4.657235383464894,0.6878858055184515,5.421413415724007,safe,Consumer Staples,defensive,high_grade
KO,Coca-Cola,0.09314417646160891,0.7668867348496413,0.16840940314455807,5.556516040543797,0.45738246069302396,5.532457555939772,safe,Consumer Staples,defensive,high_grade
WMT,Walmart,-0.07937316452850338,0.36805682408981694,0.1133530990487164,4.623575668325041,2.5052447061137886,6.073487090261117,safe,Consumer Staples,defensive,high_grade
KHC,Kraft Heinz,0.016494265522216518,-0.056598928912038736,-0.054997187782750104,0.7583911385353902,0.3049666202039469,0.5190652017919112,distress_risk,Consumer Staples,defensive,mid_grade
HD,Home Depot,0.01871639944811837,0.8995385127741568,0.19995242399733573,3.626301069157582,1.5669917693515392,5.684429007258858,safe,Consumer Discretionary,cyclical,high_grade
MCD,McDonald's,-0.0033268923800722507,1.1809123750315047,0.209678232378392,3.1275157459302516,0.4517348567588003,4.669467525353665,safe,Consumer Discretionary,defensive,high_grade
F,Ford Motor,0.029730944805643936,0.07783925854198367,-0.0363017014801494,0.2269581175132317,0.6476241527182183,0.8086555040672141,distress_risk,Consumer Discretionary,cyclical,speculative
VZ,Verizon,-0.013476542208193778,0.23436518263089412,0.07264172879695639,0.688247703413876,0.34183862780699453,1.3064443599186952,distress_risk,Communications,defensive,mid_grade
T,AT&T,-0.012013384166511978,0.03752516670712378,0.08046444771274494,0.5940804947447087,0.2990209377483948,0.9591210844374372,distress_risk,Communications,defensive,mid_grade
CHTR,Charter Communications,-0.05292679605480731,-0.0349711113849027,0.08105672025056253,0.15138701907340643,0.355184063600345,0.6010317406666127,distress_risk,Communications,cyclical,speculative
LUMN,Lumen Technologies,0.10246927959932445,-0.5736707238949391,-0.041698212101799546,0.17278506263572013,0.3611321414011997,-0.3529767988870321,distress_risk,Communications,cyclical,speculative
XOM,ExxonMobil,0.024615795803821998,1.0746447503229541,0.09325805158358946,3.723075814997203,0.7214241168871665,4.797062781528056,safe,Energy,cyclical,high_grade
OXY,Occidental Petroleum,-0.0071389542204166965,0.2600313591333476,0.049069916613213596,1.2876727269059427,0.25649157817214263,1.5465030968614997,distress_risk,Energy,cyclical,speculative
CAT,Caterpillar,0.16155601764974387,0.6638738144748186,0.1221585433889537,4.9253217059805605,0.6855911142668762,5.167197892483198,safe,Industrials,cyclical,high_grade
GE,General Electric,0.012399265570143429,0.673455277370188,0.08329940308368351,3.2484263533894726,0.35227281457182585,3.5339331637841,safe,Industrials,cyclical,mid_grade
AAL,American Airlines,-0.19890245086929775,-0.1089778871369832,0.03085440476575906,0.13966846600815255,0.8844012043901965,0.6787698366871593,distress_risk,Industrials,cyclical,speculative
CCL,Carnival Corp,-0.1716679242362683,0.09319558109389209,0.07972991274401688,0.8943753163972287,0.5150424671580862,1.239248673499606,distress_risk,Consumer Discretionary,cyclical,speculative
RCL,Royal Caribbean,-0.2365265864148586,0.14236286311540403,0.12890747014584686,2.4891951032064767,0.4309089598500685,2.2652967779189845,grey_zone,Consumer Discretionary,cyclical,speculative
NEE,NextEra Energy,-0.04340427132253045,0.16501426751472587,0.04278844119762506,1.1931735778230603,0.12886362888478337,1.1649044804643618,distress_risk,Utilities,defensive,high_grade
DUK,Duke Energy,-0.04819757224016022,0.025830710753259493,0.04774798708464462,0.6547734836354464,0.1646963256631381,0.6934546815901043,distress_risk,Utilities,defensive,mid_grade
NUE,Nucor,0.2210859161349134,0.8974475843208751,0.0779968094804011,4.258376106009245,0.9256494986326345,5.2597943509346266,safe,Materials,cyclical,mid_grade
FCX,Freeport-McMoRan,0.13359808826310451,0.023810751800849277,0.11589045334983754,4.017558184299843,0.4455275327935084,3.432153697864792,safe,Materials,cyclical,speculative
