snapshot_date,sigma_E_hist,E_today,D_kmv,sigma_V_kmv,DD_kmv,PD_kmv,D_naive,sigma_V_naive,DD_naive,PD_naive
2015-01-31,0.1488385388050705,980864492190.8569,163723000000.0,0.12909354516861013,15.262077149940021,6.841129225479597e-53,518023000000,0.1003079930577426,10.801255509287827,1.6976437546257903e-27
2015-02-28,0.14500648136106173,1076894700124.5117,163723000000.0,0.1258395431638819,16.30367202396091,4.646845526748558e-60,518023000000,0.0978576687508424,11.717125173545611,5.20732411550696e-32
2015-03-31,0.1457182516267923,1040846138082.2753,163723000000.0,0.12650767431172033,15.982596576161418,8.44793994234837e-58,518023000000,0.09843458678494492,11.412632837550543,1.8080766381469552e-30
2015-04-30,0.18267533423258725,1122473341787.1094,163723000000.0,0.15920711042557378,13.08454693907726,2.0177960977017616e-39,518023000000,0.12459967581688505,9.407461645201563,2.541313976133279e-21
2015-05-31,0.18318202638427256,1129931741699.982,163723000000.0,0.15969346082999078,13.080598096886096,2.12541122428617e-39,518023000000,0.12503302413416675,9.41115157245353,2.453652775394116e-21
2015-06-30,0.1833443402071608,1113216503821.5635,163723000000.0,0.159867454582805,12.984434888910673,7.497039469858274e-39,518023000000,0.12520790610268648,9.315400189461531,6.0746830087493695e-21
2015-07-31,0.18478070485370032,1091487078238.2202,163723000000.0,0.16116173606109047,12.771835338866298,1.1776716745580544e-37,518023000000,0.12627006123243464,9.128448442828406,3.4743999610705415e-20
2015-08-31,0.19752801348942534,1051371121183.7767,163723000000.0,0.17215576084121018,11.755922898972319,3.291871657756442e-32,518023000000,0.13474199698532707,8.356572013901792,3.2283512059472214e-17
2015-09-30,0.21434277340307378,1035905152438.202,163723000000.0,0.18667865289751223,10.758416268548428,2.7045881383716542e-27,518023000000,0.14595446407286675,7.635087066903877,1.1283393396057846e-14
2015-10-31,0.22091985807877781,1219307544682.6172,163723000000.0,0.19271566744576663,11.157325218489618,3.297293996845842e-29,518023000000,0.15103801742168732,8.120894161163084,2.313807337329438e-16
2015-11-30,0.2225544548079029,1280019676548.1565,163723000000.0,0.1942678127045128,11.28877900254852,7.454669379352227e-30,518023000000,0.15241116660122195,8.274319777384038,6.459550740907725e-17
2015-12-31,0.21969241534202488,1318902708326.1108,163723000000.0,0.1919925811408161,11.563870409027713,3.140622664257422e-31,518023000000,0.15089940996033488,8.502097639069488,9.309754878404045e-18
2016-01-31,0.22812202230694387,1236073118569.336,163723000000.0,0.19983134352922263,10.813615835597782,1.483691054106882e-27,518023000000,0.1576235072670489,7.836794262199772,2.3109720828065827e-15
2016-02-29,0.23574681415910176,1258813331099.8533,163723000000.0,0.20675083019138385,10.52319974038194,3.3770081677761126e-26,518023000000,0.16336494337252278,7.6354835914684305,1.1248718016174178e-14
2016-03-31,0.23525046863950158,1270971236301.3916,122189500000.0,0.2116708513667833,11.562538161185138,3.189740887776764e-31,389961000000,0.1736167973501649,8.434560464245951,1.662249257019071e-17
2016-04-30,0.20762930430372273,1227847063041.87,122189500000.0,0.1869494074728894,12.949103611638817,1.1885676203033127e-38,389961000000,0.15353238626858662,9.386392146296911,3.1045346880879905e-21
2016-05-31,0.20927433851490979,1202691032926.7578,122189500000.0,0.18853056804010734,12.738805417790848,1.799313430319032e-37,389961000000,0.15496828319157682,9.195902524219289,1.85929834622125e-20
2016-06-30,0.21641401464120472,1229102481656.6162,122189500000.0,0.1951806065465439,12.399732467155347,1.3109876463255097e-35,389961000000,0.16073310321641843,8.963721182586488,1.5695102383227173e-19
2016-07-31,0.21545871167307729,1252839654025.879,122189500000.0,0.1944809811585547,12.534891801017238,2.4050874995910723e-36,389961000000,0.16038235338284212,9.075273377584791,5.669624330124971e-20
2016-08-31,0.19912437210363018,1262092999437.9883,122189500000.0,0.18014106016467885,13.584988259510462,2.458053975735283e-42,389961000000,0.14908529090802483,9.812708966906886,4.96336024917542e-23
2016-09-30,0.18454838182639186,1197337757358.5203,122189500000.0,0.16763518915032846,14.324629823736975,7.6772023685081085e-47,389961000000,0.13962346200616954,10.198388227168309,1.0079503419865915e-24
2016-10-31,0.17143037206813153,1184767756829.2847,122189500000.0,0.15596346769184752,15.347145845195977,1.850577166689745e-53,389961000000,0.13022832050054858,10.882230467745744,7.0046191769113655e-28
2016-11-30,0.17270286396020768,1258968335209.1064,122189500000.0,0.15713836513654875,15.583882372141794,4.684379187292993e-55,389961000000,0.1312334724186822,11.152048235457151,3.4988382385216296e-29
2016-12-31,0.17173196287787174,1290910953412.5977,122189500000.0,0.1562881740131352,15.816300889165898,1.200982923879922e-56,389961000000,0.13057122328942353,11.357562650287578,3.4007916945102326e-30
2017-01-31,0.15746590122669776,1223914935084.7168,122189500000.0,0.14345543888083656,16.904799436738244,2.0736672435603826e-64,389961000000,0.12005925433716291,12.021045193265756,1.3773241021237063e-33
2017-02-28,0.1429644861627399,1232853710260.254,122189500000.0,0.13043203610031684,18.65730818508966,5.507077054730682e-78,389961000000,0.10941759570270683,13.25229430781234,2.1880859008600175e-40
2017-03-31,0.14048900273969772,1146479314078.247,83254000000.0,0.1312844228564988,20.725331088741804,1.0235731329513237e-95,284668000000,0.11332523284623075,14.473857278257551,8.862348756782963e-48
2017-04-30,0.14096170255581683,1112702736618.1792,83254000000.0,0.1317200624925466,20.44434761862286,3.3727064777292893e-93,284668000000,0.11369091653726975,14.215208199584653,3.6865915328533615e-46
2017-05-31,0.14164622889458342,1050139872599.411,83254000000.0,0.13232326456876148,19.94337094262794,8.556720983866154e-89,284668000000,0.11415153033762689,13.752857235903091,2.4478592211769175e-43
2017-06-30,0.13896337195057057,1045838001185.7606,83254000000.0,0.12975477102840316,20.311352282217495,5.10277686116501e-92,284668000000,0.11183256283977025,14.011274644744272,6.649816035595961e-45
2017-07-31,0.14506827336068984,988166510705.6732,83254000000.0,0.13526579434778663,19.089689428137426,1.537963071116265e-81,284668000000,0.11627015161703518,13.087786872817361,1.9335598528881823e-39
2017-08-31,0.14805721163971358,939783780797.1802,83254000000.0,0.13798915039706525,18.37433025009009,1.0544744069172202e-75,284668000000,0.11850850713517544,12.508450499997643,3.356037929219934e-36
2017-09-30,0.15447518619741699,945264456358.3374,83254000000.0,0.14367512938092952,17.67889312499976,3.0490836579711795e-70,284668000000,0.1229164042582026,12.09222023505869,5.805301025164564e-34
2017-10-31,0.1785431800188571,797884589545.3644,83254000000.0,0.16545489732615082,14.39343906083483,2.8447475673301615e-47,284668000000,0.14059731579537102,9.63839866228268,2.7519922739561706e-22
2017-11-30,0.20098274284421014,722435587934.2651,83254000000.0,0.18487443636965062,12.377065354011341,1.7391502365889672e-35,284668000000,0.1550557523531877,8.254974104038318,7.596758971359942e-17
2017-12-31,0.20031263371583802,686879831962.8754,83254000000.0,0.18398445776756786,12.191504564440518,1.724962105333008e-34,284668000000,0.15389107465761126,8.082422727084412,3.1746285092723615e-16
2018-01-31,0.22273799534538816,627835838062.6984,83254000000.0,0.20331640533604006,10.619846502729674,1.2047850575613885e-26,284668000000,0.16821820530292655,7.003190099106915,1.2509948862704177e-12
2018-02-28,0.2408106450613872,575483340279.8767,83254000000.0,0.21856308000951982,9.512754444172542,9.283983287880981e-22,284668000000,0.1791346496929953,6.231845968505579,2.304853081903605e-10
2018-03-31,0.2588317853286097,531204294548.3551,78323500000.0,0.23461653510399313,8.77527758312068,8.524140932900847e-19,292355000000,0.18757938370278457,5.564201917043686,1.3167743580603593e-08
2018-04-30,0.2751280069702263,566670379611.1375,78323500000.0,0.24831617375485507,8.506689079176892,8.94853158404754e-18,292355000000,0.19692568733312438,5.508021997013754,1.814440352163359e-08
2018-05-31,0.2900943954986846,558394856006.7368,78323500000.0,0.2609650264428868,8.032312879918415,4.782602882120608e-16,292355000000,0.20557918919396376,5.219979814976859,8.947131632161168e-08
2018-06-30,0.30046609971577376,541087457623.72974,78323500000.0,0.2691157545010086,7.678109553428152,8.072669706668919e-15,292355000000,0.21016942453445667,5.002304189639498,2.8324554917864735e-07
2018-07-31,0.3019651499398559,523196992322.6624,78323500000.0,0.2697750600551293,7.549503867669489,2.1845970890578002e-14,292355000000,0.20957987950197426,4.911986124541832,4.5079217301505656e-07
2018-08-31,0.30884338504549524,507691975377.0714,78323500000.0,0.2754632022592726,7.292693272722939,1.519096299298467e-13,292355000000,0.21332248248792549,4.73083964073834,1.117965485630232e-06
2018-09-30,0.3125325332793174,453130316292.8124,78323500000.0,0.2776913022087158,6.878098599512121,3.0328342096046313e-12,292355000000,0.21346359659805295,4.391746817505684,5.622179636340095e-06
2018-10-31,0.3391062959220992,408579970498.1995,78323500000.0,0.29840336568493964,6.085542288537341,5.804883743747098e-10,292355000000,0.2252597063513858,3.8723716531624137,5.389071765855039e-05
2018-11-30,0.35842248800204335,318676270460.3729,78323500000.0,0.3103095434037154,5.177964096827329,1.1216019316278642e-07,292355000000,0.22843673300478984,3.203871537320686,0.000677964814327154
2018-12-31,0.39690790015744815,301832563925.02594,78323500000.0,0.3383428467162754,4.592929016978323,2.1853388003109282e-06,292355000000,0.24385735655458704,2.8694894921672143,0.0020556749645490933
2019-01-31,0.4071027134676962,365735910037.1742,78323500000.0,0.3443010136896598,4.962182331047454,3.485275652153978e-07,292355000000,0.2446813094519716,3.2841859241144595,0.0005113871265609894
2019-02-28,0.42605560078355337,454766400475.42957,78323500000.0,0.3591958158096074,5.253749852769843,7.451663206001629e-08,292355000000,0.2535599869125996,3.6690965603337267,0.00012170456787264115
2019-03-31,0.43604322759873326,419051016678.82544,57250500000.0,0.3831620762433693,5.428621755664289,2.839544857690122e-08,259591000000,0.27015976406454406,3.512963178601384,0.00022156944189057962
2019-04-30,0.4347269959937344,408144850039.70715,57250500000.0,0.3813441282675266,5.395293398457156,3.420583512800364e-08,259591000000,0.26771697754742074,3.486036576410717,0.0002451169852270796
