Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,ticker
2024-08-22 00:00:00-04:00,146.17999267578125,146.9199981689453,144.6699981689453,146.22000122070312,141.84519958496094,709500,0.0,0.0,NUE
2024-08-23 00:00:00-04:00,147.0500030517578,148.05999755859375,146.02000427246094,147.72999572753906,143.30999755859375,947500,0.0,0.0,NUE
2024-08-26 00:00:00-04:00,150.07000732421875,152.5500030517578,149.1199951171875,150.44000244140625,145.93894958496094,1226200,0.0,0.0,NUE
2024-08-27 00:00:00-04:00,150.1300048828125,151.64999389648438,148.58999633789062,150.3699951171875,145.8710174560547,1388000,0.0,0.0,NUE
2024-08-28 00:00:00-04:00,149.02999877929688,149.82000732421875,147.3000030517578,148.0399932861328,143.61074829101562,1126900,0.0,0.0,NUE
2024-08-29 00:00:00-04:00,148.9499969482422,151.33999633789062,148.11000061035156,150.02000427246094,145.531494140625,997600,0.0,0.0,NUE
2024-08-30 00:00:00-04:00,150.14999389648438,152.2899932861328,150.05999755859375,151.91000366210938,147.36497497558594,1441400,0.0,0.0,NUE
2024-09-03 00:00:00-04:00,149.77000427246094,150.0,143.92999267578125,144.42999267578125,140.10873413085938,1544600,0.0,0.0,NUE
2024-09-04 00:00:00-04:00,143.89999389648438,145.38999938964844,141.25,141.7100067138672,137.47015380859375,1544700,0.0,0.0,NUE
2024-09-05 00:00:00-04:00,142.38999938964844,142.80999755859375,138.63999938964844,139.60000610351562,135.4232635498047,1662600,0.0,0.0,NUE
2024-09-06 00:00:00-04:00,139.44000244140625,141.61000061035156,137.91000366210938,138.7899932861328,134.6374969482422,1310500,0.0,0.0,NUE
2024-09-09 00:00:00-04:00,141.60000610351562,143.50999450683594,140.74000549316406,140.9199981689453,136.7037811279297,1350700,0.0,0.0,NUE
2024-09-10 00:00:00-04:00,141.25,141.27000427246094,138.02999877929688,139.61000061035156,135.4329833984375,1094800,0.0,0.0,NUE
2024-09-11 00:00:00-04:00,138.50999450683594,139.17999267578125,133.4199981689453,137.77000427246094,133.64801025390625,1889700,0.0,0.0,NUE
2024-09-12 00:00:00-04:00,138.8800048828125,140.74000549316406,137.72000122070312,140.60000610351562,136.3933563232422,1358100,0.0,0.0,NUE
2024-09-13 00:00:00-04:00,141.35000610351562,145.13999938964844,141.35000610351562,143.58999633789062,139.29388427734375,1144800,0.0,0.0,NUE
2024-09-16 00:00:00-04:00,144.27000427246094,144.75,142.3000030517578,142.9600067138672,138.6827392578125,1390200,0.0,0.0,NUE
2024-09-17 00:00:00-04:00,139.4499969482422,144.4499969482422,138.39999389648438,142.17999267578125,137.92608642578125,2296500,0.0,0.0,NUE
2024-09-18 00:00:00-04:00,143.0,145.58999633789062,141.49000549316406,142.97999572753906,138.70213317871094,1426900,0.0,0.0,NUE
2024-09-19 00:00:00-04:00,146.6999969482422,149.39999389648438,145.60000610351562,149.0,144.54202270507812,1939900,0.0,0.0,NUE
2024-09-20 00:00:00-04:00,148.0500030517578,148.55999755859375,145.27000427246094,146.30999755859375,141.93251037597656,3915300,0.0,0.0,NUE
2024-09-23 00:00:00-04:00,146.6199951171875,147.38999938964844,144.9499969482422,147.0,142.60183715820312,1486600,0.0,0.0,NUE
2024-09-24 00:00:00-04:00,150.05999755859375,152.13999938964844,149.44000244140625,150.61000061035156,146.10385131835938,1465000,0.0,0.0,NUE
2024-09-25 00:00:00-04:00,150.1999969482422,150.3699951171875,148.36000061035156,148.8800048828125,144.4256134033203,986100,0.0,0.0,NUE
