ticker,fiscal_period_end,total_assets,total_liabilities,current_assets,current_liabilities,short_term_debt,long_term_debt,retained_earnings,ebit,total_revenue,shares_outstanding
GE,2014-12-31,653931000000,518023000000,,,70425000000,186596000000,155333000000,10263000000,117184000000,10057380000
GE,2015-12-31,493071000000,389961000000,,,49860000000,144659000000,140020000000,8186000000,117386000000,9379288000
GE,2016-12-31,359122000000,284668000000,,,30714000000,105080000000,139532000000,7031000000,119469000000,8742614000
GE,2017-12-31,369245000000,292355000000,,,24036000000,108575000000,117245000000,-11345000000,99279000000,8680571000
GE,2018-12-31,311072000000,259591000000,,,12776000000,88949000000,93109000000,-20987000000,97012000000,8702227000
